16 16
 -6  -1  -8 -23 -42  52  24  -1 -53  16  36 -21 -38   5  51 -57
 55  11  48 -38  28  61 -24  32  10 -12 -45  21  35  -1  51 -34
 63 -21   7 -43 -33 -32  20 -21  48  -8  22 -53  61   9 -46  53
-44 -62 -49  48  63  -9  16  10  43  35 -33  14 -29 -46  44 -30
 -2 -12  -9  29  20 -52 -56   4   4  30  15   2 -25  33  -9  -5
 36   6 -20  35  61  60 -19  40  32  13 -10 -61  31 -29 -27 -35
 23  28  59 -21  40 -61  47 -19  34  -1  47 -55 -32 -26   5 -60
 44  49  40  41  45 -43  17  13  34 -57  16   2 -22  53  31 -63
 18  26 -20  -6  30 -36  39   0  27  22   9  59  60 -50 -64  40
 63  40  17  45  61 -30  -6  32 -22 -53 -30  20 -64 -63  22  18
 28 -62 -51  -6 -34  52  58  57  11   3  53   7  18  53 -16  17
 29 -63  -2  26 -28  57  -6  14 -60  28 -30 -60  30  56  23  -6
 59  36  52 -39  24  46 -45 -29 -15 -56  43 -61  61 -37  21  26
-36 -45 -12   0 -52  47 -50 -48  11 -15 -43 -23 -23  44  35 -28
 16  23  -2 -24   5  17  12  55  25  -9  58  22  18  15 -16  46
 35  36 -17  47  19  -3 -64 -33  46 -43   8 -40 -63 -20  -4  17
