16 16
-63  19  -6 -23 -62  57  33 -24  58  51 -53  22  21  12  26 -53
 51  50  15  50  44  -2  52  36  33  35 -15  59  56  11   6  57
-34 -64 -29 -32  57 -60   8  51  56  20   9  13 -32 -28  25 -45
-42 -24 -58 -62  38  58  39   8  29 -40   3  21  35 -55  15 -63
-54  50 -31 -61  54  42  55  46  -2   0  -4  30  36 -43  50  59
 -3  56  61 -29  50  36  43  15  61 -17 -28  32  -8  51  34   2
 37 -61   6  28  45  -3  10 -21  61 -58 -54  34 -37  60  29  24
 52  26  60  38  -1  39 -11  -4 -42  25 -36  15  13  62 -47 -14
-62  23 -50  47 -44  25 -37 -46  31 -27  52  59 -31  17  19 -43
-21  15  59  42  -9 -16 -26  13 -55   3 -36  22   1 -18 -55   3
-59 -41 -13 -38  48  14 -20  16  51 -32  11 -44  49 -34 -23 -36
 46 -28 -57 -27  20 -19  50  29  48 -49 -12 -14  -3  -3  53   2
 20 -24  28   5  54 -56 -43  41 -24  32  61 -39  62 -26 -10  44
 10  -3 -47 -34  42 -60  60  27 -45 -16 -51  16  45 -62 -46   1
-21  47 -58 -31  55 -37 -53 -32  59 -56  -7  58 -17  47  38  57
-20  56 -40 -41  60 -44  50 -49   4  63  31 -15 -63  49  50 -20
