16 16
 32  57  14  24 -44  25  56 -48  33 -15 -54 -48 -31  48 -54  13
 40 -30  36  36 -10  22  51  58  21  18 -21  23   4 -35 -61 -28
-42  17  60 -21 -22  52  -5 -52 -26   5 -36   7 -11 -26 -44 -34
  8  57 -62  62  15  54  56 -27   8 -29  60 -52   1  63 -15  23
 17 -19 -62  59 -30  -3 -57   8 -62 -28 -49  -8  10 -29  22 -45
-36  24 -47  44  14 -54 -47 -41 -19 -51 -29  46 -52  20   6  29
-62   8  25 -28 -58  32  44 -56 -60  59   0  15 -34 -42  34  -5
 47  51 -25  -3  61  -8  20 -21   5  56 -39  17  12  31 -17  14
-24 -56  50 -18  40  30 -10  45  25  55  -4  56 -51 -34 -13  60
-47  26  -6 -49 -46 -50  -6  23 -58  19 -24  19 -13  23 -31  27
 31 -44 -55   8  50  -1 -11  12 -10  49   4   4 -49  55   0 -32
 17  58 -17  35 -55  41  -6 -49  -3  34  34  48  -6 -60  11 -39
-40  20  33 -54 -45 -42  22  10 -57 -38 -50 -42 -47  14  -9  34
  9  38   5  18  16  63  33 -51  34   4  61 -36   8   8 -11  32
-36 -41  42 -17 -19   1  57 -11  27 -57  11  45  22 -62  15 -33
 41 -43  49  -7 -44  18   6  54 -42   3 -46  30 -53   8  -2 -25
