16 16
-30  17  12 -39   7  32 -49  60 -19 -14   7  51   0  59 -41  13
-19  62 -11  -7 -26 -31   2 -30  24   5 -35  10  24 -36 -35  58
 45  41 -45 -12  10 -29 -16  55  21  56  42 -43  51 -63  34 -32
 63 -41  26 -26  -8 -36   8 -48  33  38  27  -7 -62  56 -13  47
 34   7 -28 -20  42  20 -29  -1  12 -51  20  -1 -49 -10  32 -50
 13  -6 -12 -59  22  61 -43  -9  35  48  48  37  41 -29  20  11
 42  56  55  20  13 -38 -45 -39 -25  39  25 -10 -35  -7   5  42
 51  57  47   9  54 -59 -64  25  53  48  -2  30 -45 -45 -23  62
-53 -32  18  24  -6  38  50  34  13  11 -40  43 -60  29  21  55
 23   5   0  13  10   0 -25  -1 -16  37 -34   3  56   7   1 -60
 40 -44  28 -30  58  14 -60   7 -39 -35 -14 -35  58 -56 -44  17
 13  20 -33 -41 -44   6  22   4 -21  52 -56 -28  -4   9 -24 -28
 29 -60   6  23  19  11 -33  44  40  17 -54  34  25 -34 -12 -26
 51  19  -3 -57 -39 -44  12   4 -56  20  40   4 -35 -48  40  59
-43 -17  18  40  58  49  20  34   3  30   4 -36  61  56   3  48
 11 -64  55  36 -44   3 -23 -35 -41 -47  33 -11 -30  10 -16  -9
