13 12
-720 -710 -700 -690 -680 -670 -660 -650 -640 -630 -620 -610
-8208 -8102 -7996 -7890 -7784 -7678 -7572 -7466 -7360 -7254 -7148 -7042
-15696 -15494 -15292 -15090 -14888 -14686 -14484 -14282 -14080 -13878 -13676 -13474
-23184 -22886 -22588 -22290 -21992 -21694 -21396 -21098 -20800 -20502 -20204 -19906
-30672 -30278 -29884 -29490 -29096 -28702 -28308 -27914 -27520 -27126 -26732 -26338
-38160 -37670 -37180 -36690 -36200 -35710 -35220 -34730 -34240 -33750 -33260 -32770
34224 33786 33348 32910 32472 32034 31596 31158 30720 30282 29844 29406
26736 26394 26052 25710 25368 25026 24684 24342 24000 23658 23316 22974
19248 19002 18756 18510 18264 18018 17772 17526 17280 17034 16788 16542
11760 11610 11460 11310 11160 11010 10860 10710 10560 10410 10260 10110
4272 4218 4164 4110 4056 4002 3948 3894 3840 3786 3732 3678
-3216 -3174 -3132 -3090 -3048 -3006 -2964 -2922 -2880 -2838 -2796 -2754
-10704 -10566 -10428 -10290 -10152 -10014 -9876 -9738 -9600 -9462 -9324 -9186
