128 128
 13 -61 -58  -5  36  54  56 -29  31  23   4 -46  39  -9  36  57 -21  19 -19  29  49 -19  41 -36  15  62 -60 -29   4 -37   2 -47 -33   8  12 -61  -2   5 -25 -35 -36  43 -16 -60 -30 -44  61  13  39 -21 -22  24  24 -44  53 -25 -46  57  10  22 -44 -52  39 -13  21 -12  -9 -45  57  30 -15 -43   9  33 -39  44  53 -41  -7  28   2  36 -11 -38  56 -22   2 -54 -29 -52  33  -9 -39   8  43  46  60 -30 -63  53 -64 -14 -53   9 -45 -28 -11 -56  -5  47  37  61  19 -38 -40  11   4  26  21  39  38 -10 -34  63  63 -55  45  59
-21  47  49 -21 -31  60  53 -11 -32 -22  -3  28 -39 -30  25  44  -4  49  -9 -64  11 -51  39 -14   3 -58 -15   2 -49 -33  -2  -5 -50 -17  38 -17 -21  27  36  11 -58 -30 -25 -33   4 -63 -52 -63  50   3 -63  -2  16  41  48 -44  47 -31  22  62   0 -44  -7  14   3 -32  62  46  59  34  -6 -63 -60  33 -31   9  34 -19  10  21  48  11 -45   1 -12 -61  21 -29 -28 -21 -30  37   0  27 -13 -61  59 -15  50  55 -44 -20  56 -40 -51 -39  33  48   6 -21   5  -9  55  24  56 -21  27  13  15  63  56  49  36  -8  12 -40  -4   8
  9 -18  -1  29  26  -9  54  39  17  23  23 -41 -61 -36  14  58  52   6 -27  15 -45  52  15 -52  37 -13   4 -14  11 -64  58 -43 -18  -7  50 -56  48  40  48   1   0   7  25   3  36 -25  -3  24  46  34 -24 -63  23  55 -51  -4 -22  18  46  54  18  40 -53 -63 -31  61 -55 -46  38  57  19 -26   1 -20  41 -27  20 -26  61   2 -56 -27   3  31 -36  17 -36   7 -29 -54  -3  53  51   8  54 -44   5 -64 -26 -21  57  58  17  -6 -26  -6  31  58  32  29  -4  41 -62 -64   8 -33  17  36  38  52  47 -29  41  34  43  32  54 -16
 32 -35  28  25 -41 -19 -44  -3  40  51  -8   8  16  52 -15  19  52  58  50   5  30  24  -7  13  59 -29 -17  38 -61 -26 -42  35   3  50  -4  26 -32  16 -41 -56   4  15  16 -44   4 -62  39  -8  60  25  62  26 -15  -9 -24 -20  26  23 -46  29  61 -23   0   0 -37  61 -38  -5  13 -14   3 -47 -63 -44 -26   5 -42 -51  62 -46  39  60  44 -40 -13 -44   5 -50  44  23  43  41 -64 -20 -22 -36 -23   4  23  54  54 -37 -56  56 -17 -18  -3   5  -5  -5  23 -30  -9   3  -5  43  24 -64  57   4  23  36 -19  24 -48  23  52  -7
-36  11 -16 -46  38  -8 -54 -43  38   8  26 -31 -61 -15   4  -5  53  63 -26  13  63 -33 -47  22 -61  -2 -18 -44 -42 -30  13 -14  46  61   4  20 -11  15  42 -37 -41   4  -3 -38  54 -63  21  43 -64  59  -8  63 -38   9  21 -34 -57 -60 -14 -35 -26  63  15 -44  61 -44  41 -14  35  19  14  58 -41 -53 -44 -51 -52  42  56 -52  37 -16 -53 -64  57  32 -34 -63  36  16 -34 -53  15  46 -33  12 -62 -56  63  37  27  13  31  51  24  51 -64  36  29  57  48   3 -23  59   3 -29  27  33 -28   0 -15   2  11 -64 -16  42  13 -14
 51  12 -41  14 -39  54   1  49  42   2  21   7  -5   5 -54  36   0  13 -57 -37 -18 -21  27  31  46 -26  32 -34 -47 -19  17 -60  57  40  18 -46  31 -44 -61   9  22  24 -48 -47 -35 -37  53  29  40  61  56 -41 -24  20  54 -42  58  22 -11 -53 -61 -58 -49  60  46  34 -50  13  54 -47 -42  12  41 -25  29 -58   2  18  35 -22  15  28   1  56 -16  -8 -50 -22 -50   3 -10 -46   9   5 -50  -8 -25 -35 -59 -35 -18 -36  41 -40   3   6 -34 -59 -39 -62 -17  40  30  49  32 -50 -23  47  -8  -9 -14  46   9  60 -12  24 -12  27
 53  -7  57 -29  21  34  -5 -40 -23  26 -35   2  28  13 -22  -6  -2 -53   8  39  58 -64 -34 -20  47  40 -24 -29   0  28  62 -11 -42  55  24  43  26 -44 -60 -61  46 -31   5  10  46  47 -60 -20  58  12 -45  52  12 -14 -31  -5 -38   9  30  26 -26  29 -49  -4  20  39 -25 -18  59 -21 -15  41  13  54 -13  -5  38  -9  40  32 -61  59  21  16 -19  54 -53   7  -1  42 -31  37   7 -16 -31 -37 -40   9  10 -45  52  59  61   1  50 -16  61  24  40  37  -8  43  32 -51  -5 -50 -61   7  21   3 -15  55 -24  56 -25  10 -45  -1
-45  29  19 -57  25  16   9  11 -64   6 -29  40 -21  27  20 -53  41 -49 -39  44  22  47 -17 -57  38  24  63 -51 -30 -45  13 -11  48 -32  -4   9  48 -59 -44  48  11  -9  25  54 -45 -19 -62  60  -4 -37  40 -45 -54 -40 -38  48  48 -38  62 -46 -19  11   7 -35  43 -61  39  27 -55  59  11  20 -13 -28  11   6  17  13   2 -50  40 -22 -31  51   2  -5  35 -14  21  33   4 -62 -20 -53 -32 -41 -49 -57  50 -40 -62  -2  44 -11  34  -9  59 -12 -60  -3   2  45  40  35  32 -22 -34   3  29  52 -27 -31  54  17 -19 -42  41  -4
-35  27  20 -32 -39   0  21  60  56  17 -16  60 -50  50  41  54  21   9 -31  51 -51  62  39 -14 -33  30 -61  12  52  44 -56 -46   8  28 -14  33 -35 -57  29 -43  24 -51 -47  39  63  59  29  20   4  62   8  17  60 -17 -61 -36 -51 -57  40 -62  51  49 -44  -5  13   6 -35  42  13  58  63 -26 -56 -47 -51 -57 -52  42  28  16  41 -28 -30  37  19 -27 -63  33 -20  42  35 -32  27  55  27 -24  -3  56 -45 -54  51 -46 -16  59 -29  -3 -62 -17 -24  30 -64 -47 -62 -30  54  22   7  56  -9  52  34 -38 -44  -3 -47  47  37  14
 40  56  24  27 -53 -55  22 -18   6  24  30  46  -9  30  63  -7 -64  54 -49   7  46   6  -5  16  32  15 -51  49  -1  50  -1 -25  43 -40 -62  54 -31  24 -28  39 -16 -62  22  39  32  21 -31  32  11 -16 -24  -7  55  35 -55  23 -13 -42   9  50 -55 -56 -39  52 -32 -37  42   1  51 -50 -23 -29 -47  63 -53  49  20 -20  18 -32  28  58  25  19  29  35 -21 -48  57  52 -62 -62  60 -37  54 -35 -10  32  30 -23  47 -57  13 -64 -58  24  49  27 -60   3  59  32  -3  20 -12 -37  -9  31 -21 -15  19 -18 -13  15   9 -22  44 -64
