32 32
  9 -31  11 -37 -19 -26 -18  30 -63  -7 -30  15 -31  53  11  33  48 -35 -13 -58  19  28  25  62   0  16  30  46  10  -7  30 -45
 26 -23 -17 -56  15  29  38  16 -41 -55 -33  -8  62  42 -39  46 -57  12  53  26 -23  14  24  41 -34 -10  23  40  48 -11  60  10
 30 -21  18 -19 -56  -7  61 -33   2 -36  23   0 -58  48 -17 -51  -3 -28  40  38  50   0  15 -47  55 -26  57  39  27  53 -15  -7
-32 -60  38 -23  -3  35   8  63  63 -32  -1 -59 -48  46 -46  13 -46  58 -13 -59  -5 -62 -42 -14 -24 -49 -39 -61 -59  10  -4 -27
 14 -30  14 -53 -59 -41 -54 -60  -9  10 -55   7  -8 -36 -43  11 -42   8  16  17  11  38 -61  51  53 -36  55  58  39 -13 -32 -11
 22  46   1  27 -59  11  32  -4 -43  41 -60  14 -59 -39 -39 -36  33  41  45 -20  15  49 -32   4 -51 -41  -1  52  10  31 -22 -32
 13  43  60  19 -10  28 -49  12   5 -45 -38  11 -20 -13  39 -50 -36  20  -6  43   5  26 -17  19  49  46   7  -4  13  49  28 -37
 28  24  46 -45 -12  61  31  58 -47  57   5  -3 -20 -20  11   8 -64 -58 -13   6  32  34 -39  18  17  32 -50 -34  18  42  -7 -18
  3 -25   1  55 -27 -32  49 -10 -39 -10  51   5  34  -1 -51  35   5   0 -23 -27 -29   2  55  52 -30 -59 -46  52  48  12 -29 -13
 51  36 -22 -40 -59 -36  14 -34  18   2  36 -11 -63  49 -40   6 -14   1  43  21 -61  35   9 -27  40  27 -38  24 -25  -3 -53 -37
-31 -10 -13 -26  18 -62   5 -28   4 -23  25   5 -38  49 -53  12 -14  54 -31 -11  25  42  27   2   6  53 -38  45 -14 -26 -56  19
 28  -4  58 -18  -2  -1  18 -62  40 -20   7 -62 -35  18  15  16   8  48 -59 -30  27  32  36 -31  21  62 -50 -57 -28 -41  27 -64
 19  21 -18 -47 -44 -63 -45  60 -19  26  62  10 -20  13 -38  52  -2 -32 -42 -39 -64  58  -6  22  57   8  29 -35  31  -8 -34 -14
-51  12   3 -31  13  22 -35  58 -16 -36   5  28  41  31  17 -25  63  39   0 -64  34  58  22  27   3 -13  56 -30  44 -42  21  57
 35 -40 -37 -16  47  -8 -21 -33  20  48  60  -2  15  13  37  15 -12 -26  15 -42 -32 -27  49  35  24  42 -58   4 -64  27  -2  35
 51  25 -44  34 -47  -1 -62  38 -17  62 -28  62  11 -55  13  63 -17 -36 -42  16   1 -57 -13 -38  49  -7  30  50 -44 -36  21 -56
 53  41  42 -57 -24  44  45  23  42 -47  22 -11 -38 -29 -11  10   0  11 -38 -63  18  13 -37   4 -57  58 -10 -37 -42 -53 -29 -52
 53 -50 -45 -35  58 -64  53  37 -47  11 -38 -21  46  15  53 -18 -38 -49 -16  45  29  11 -15  36   5  39  63  28  50 -29  40  39
-15  59 -59 -21  59  58 -48 -52   5 -21  -9 -13  58 -19  34 -43  -4 -46 -62 -39  29 -13  61 -29 -38  61  63 -52 -32  39  52  17
 34  57  60  29  51 -51  41  -8  -8 -32  43 -14  13  13   7 -54  31   9 -29  -3  60 -31  32 -42 -34  31 -29  -2   6 -41 -49 -24
-48 -53 -59 -61 -40  46  -5  16 -50 -26 -61  28  52  10  38  19 -44 -55 -48 -48 -22  48 -25   8  15  10 -58 -43  33 -43  -3  49
-31   2  52  -7 -16 -17 -54  -1  21 -51 -37   9  23 -63 -35  43 -54 -19  60 -11 -34 -29  61  45  45 -60 -61  14 -39   0  -1  -6
-61 -13  52 -13  34  62  50  -9 -53 -51 -63  34 -50 -34  14 -39  11  10  14  41  45  11  23  26  15  26 -24  41 -38  39 -29 -35
-38 -41  17  60 -43   3 -13 -32  17 -12 -61  31  18  17  56 -34 -37   6 -57 -56 -46  30  34  33  -8 -54  10  19  49  46  48 -53
-59   1 -57 -37 -59  -6  -5  22  47  -2 -11   1 -49 -18  31 -22  52  39 -14 -58   5 -44  40  62 -34 -14  17 -49 -32   1 -38 -26
-61 -31   1 -56  28  60  30  11  -5 -45 -52  10   1  44  53 -10  19 -25  -4 -40  -4 -28 -42  26  23  39  42  55 -23 -60 -35 -20
-26  30 -12 -62  27 -46  13 -42 -27  25  32  39   5  21 -35 -40  61  25 -15  -7  62   7 -45  21 -17  61  12  24 -62  42 -60 -24
  8  -8 -22 -29  10  55  -7  47  16 -38  22 -42  47  51 -18  44  13  31 -27  11 -25  -7 -32  22 -10  44 -18  -8  22 -14  32 -33
 42 -54   2 -12 -63  60 -29  18 -42  58  40 -59  45 -42  50  -6  54 -41 -59 -35  16 -27  51 -57 -46 -31  -1  40  19 -32 -57  -3
-22  10  49 -20   6 -44  62  28 -50  38  33  60  60  19 -10  50  43  -4 -49  -5  33 -62   2  51 -29 -62  28  54 -30  35 -13  12
-19 -28  56  51  -7  54  15   7  28 -15   3  25 -60  58  11  47 -10  27 -21 -41  29  45 -53 -63  47  39  55 -47  10 -21  30  56
 15  22  43 -56  13  -5  16 -23  44 -45 -62  48 -51  14  32   3 -23 -53  27 -58  56  38 -57  40  13  63  57 -41 -22  23 -49  57
