256 256
 18  53  14  19 -46   2  -2 -33  49  11  49 -19 -26   3 -17 -45  17 -57 -20 -49   0 -38  -6  27 -42 -50  11  31   1 -20  58 -44 -30   9  39 -12 -53 -26  20  60  49   5 -23 -41 -55  24 -22  26  32  22  41 -32  49 -28  59 -57 -14   6  38  52  50  33 -56 -44 -22  47   9 -11 -43 -35 -14 -58  34  27 -34  43 -12   8   6 -44 -33 -17 -12 -48  19 -17 -41 -58  53  61  58  39  30 -62  60 -56  49   5  -2 -57  34  48 -51   4  11 -21 -16  63  52  54 -45 -45 -27   7 -29  57  54  -6  63  43  -9  57  19 -42  59  15 -34  44 -44  28  51  54  12 -63  -6 -40 -20  42 -41 -32  32 -21 -13 -58  50  22  63  41 -48  62  20   8  55 -25  30  50  54  60  30 -54  25  18 -64 -27  19  -5  -3  63 -27  21 -32 -58 -64  19 -52  50 -22 -53  27  -6 -55 -16 -62 -64  23  32  50  14  29  16  24 -10 -30  25  27  53 -44 -39  53  -7  46 -43  -1  46  40  11  32 -46  22  -4  13  31  44  15  31   3 -16  17 -47 -51 -30  42   3   4   3 -34  -6  23  -9 -17 -48 -27   4  16 -45 -20 -37  52  -1  50 -16 -52  17 -36  27 -15  31 -53 -62  49 -40 -28  27  27  41 -34
 58 -29  53 -15  18 -59  23 -42  21  42   2  49  30 -63  35 -50 -51 -12 -22  41  37 -54  52  40  59 -51 -52  22  40  53  52  34 -40  41 -44  42  46  43 -64   4  21   3 -11 -12   4 -40   2  18  12  45  -5 -14  55 -17 -38  50  -4 -26   8 -27 -36  -4 -57 -12 -27 -37 -33 -45 -58 -33  23  28  34 -52 -48 -25 -28  18  57  49  -1 -12 -29 -10  35  -3 -24 -32  35  48   5  63 -20  12 -12  17  40  19  37  46  50  -4  10  21   9  26  60  45 -19  53  30  44 -23 -63 -29 -52  -2  11 -20 -30  -4  49 -31  40  -2  21  -6 -26 -24 -33 -44 -37  27  31  48 -28  -7  44 -46  38  33  48  19 -54  50  54 -42 -16   1   3  18  61 -12  52  38  50   9 -32 -40  50  -1 -19 -51 -38 -52  61  -1   5  41  17 -20  10   1  63  20 -13  53  42  36 -10 -19 -10 -12  34 -22 -38  20  52  -6  45  38  57 -38  51 -45 -26  48  18  43  25 -29 -41 -29  37 -42  55 -40 -53  33  60   2 -49 -13  54  49  29 -48   5  17  10 -14  -9   3  12 -22  22  50 -38 -23  30  51  12  53 -42 -15 -52 -51  10 -41  47   6  25  62  57  15  47  23  31 -12 -24 -23  39  32  44 -13 -54
  3 -26 -27  44 -60 -40  -8  57 -17  42 -59  -4 -12 -35 -21  58  54 -23  52   6 -40  11 -27  13  51  15 -12  19  -5  39  30  62 -51 -61  42 -47 -37 -29 -53  10 -51 -48 -57   1 -19 -14  -5 -28  28 -17  42  52  58 -49   1  46  30  53   1 -38  29 -33 -40  42 -30 -61  60  -2 -26 -57 -56 -13 -41 -49  52   5   2 -17  41 -34  31  19 -46  25  34  20   7   1   9 -55  27 -26 -24  51 -47  11  54 -51 -55 -36 -44 -47  15 -21 -31   3  48  35  51  25 -63  18 -20 -45 -21 -49  39  51  16 -15  60 -21  23 -28 -34  40  47 -43  53  56 -15 -55 -54 -63 -11 -21   4 -27 -50  -9  63 -49 -55 -21 -30 -11  -6 -54 -24 -54  -5 -28 -11 -46   8  20  59  -8  41  48 -16 -38  58  -6 -37 -17  37  32  20  51 -41  19 -62 -31  63 -27  22  -7 -17  62   4  42 -30  57  60  42  13  55 -30 -10  40  19  17  34 -51  44 -47  51  12  37  38  36  -7  41 -59  -8 -50  27  49  -3  25 -11 -25  59 -17 -29  37  60 -37 -56 -13 -61  27 -60  37  40  48  54  27  -3  27   2 -31 -44 -21 -26  12  -7 -63  -2  54  26  51 -35  21 -30   0  -6 -33  27   2  18  30 -35  22   3
-58   6  -7  33 -61 -43 -29 -28 -23  14  10  54 -57  11 -12  61 -27 -25 -38  58  10  27 -11  41 -10  55  -5 -43 -43 -47  24 -37  23 -46  60  27 -25 -32  63  16  46  10   6  54 -43  58  51  -5 -30 -50 -11  44  41  42  21 -33  34 -48 -12  55 -31 -51 -46  56 -33 -50  19   6 -18  19 -42 -35 -35  29 -45 -14  23 -58  45  57 -44 -29  37  61 -51  -6 -35  47  10  17  38  43  30  56  36  61 -57  -9   3 -11 -54  26  18 -25  -9  37  26 -50  44   7 -56 -64  42  45  62  56 -24 -37  39  50  44  14  30  11   6   2   8  13  57 -52 -61 -60  38  21 -21 -35  -5 -59 -21 -25  13 -13 -25  -9 -31 -27 -17   9   0 -41  -5 -19  37 -39  56 -21  27   0  57  21  12  60  25 -14  17 -60  15 -52 -54  59 -13  23 -18  27 -50  15 -64  -2 -40   1  21  20  46  -6  45  38  37   9 -26  30 -34  51  26  55 -27 -20  59  53  -8 -59  48  44  28 -34   7  43  46   7 -23 -58 -56  62  26  54  -8   8  28 -35 -47 -61  60 -17  54  22 -26 -37 -62 -31 -48  -5 -25 -64 -25 -61 -33  46  46 -51 -11 -41 -45  -2 -43  46 -12  13 -10 -47  43   7 -44  39  54 -54  -3 -36
-27   0  -3 -10  59  36 -10 -30  40  21 -48  22  34   5  46  54 -61 -61  36  -8  17 -38   9  -4  33  29 -29  23  39  32  51 -52 -32 -16   2 -37 -43  57  -3  61  14  13  19 -15 -45   1 -25 -42   5 -53  14 -42 -27 -41  18 -58  52  53  29  27  21  16  40  54 -64 -22 -47 -43 -29  15 -46  50 -36  38 -29 -17 -25  10   6  44  21 -44 -62  58 -20  20 -64 -32   9  29  60 -33 -19  36 -43 -19 -50 -26   3 -14  53  21 -28 -46  -5   7   1  35 -47 -57  15  38 -36  18  32   8 -26  32  40  48  -3  36 -49  42   8 -28 -41  23  10  26 -55   0 -16 -19  18  43  52 -45  14 -59 -37 -34  43  -9  48  11  63 -42 -21  39 -58  40  12 -43  18 -44  -7  41  43 -60   4  52   4  52 -31 -42  31 -43 -23 -18 -38   4  12 -59  59  -4  16  58  18  59  34  25  35 -18  46 -11   2 -24 -33 -18 -20  35 -30  48  23   4 -58 -10  25 -17  36  52  52 -16  57  47  44  10  42  -1   5  12 -40 -23  58 -58  30  -4 -18  61  42  26  32 -51  10  -9  17  16  46 -22 -64  18 -34  52 -61 -40  35  47  34  13 -18 -25 -39   6  16 -45  13 -17  16  59 -20  -6  22 -51   7 -32
  4 -40  49 -14   3  49 -59  33  37 -56  57   8  55  27 -42 -26 -61 -17  44  19   3  -7 -62 -45 -11 -17  13 -53  -4 -43 -21 -64 -19 -36 -13  48 -51  -8  18  50   0  11  -5  -9 -25  17  29 -22 -64  10  61   3 -61 -64  22  -8 -17 -28   3  43  -7  47  43  38 -53 -34  23 -39  22 -23 -53 -42  52   6  14 -37 -41 -21   5 -40  53   3  27  57   3 -14 -15  50  22  53  29 -49  36   8  53  47  39  12 -56  -3  53 -44  20  42  26 -30 -59  50  13  11 -54   3 -50  37  -4  17 -41  45   3  45  34 -32  60   6  40  50 -10  15  -2  -2 -51 -12  18  33 -34 -19 -61 -29 -33  16  46 -23 -45  60 -50  15  13 -26  -3 -48 -45 -33 -16 -48  38 -39 -62 -36  40   0  26  53  52 -19  22 -46  26  25 -10  57 -22 -28 -30  -3 -31 -16 -51  46  22  10  63  42  41 -17  58  15   8  60  43 -15  -4   6 -26 -15  51  61   3  13  22  57   6 -64 -34  40  -2  -1 -40  11 -19  47 -43 -20  25  62  28  19  14 -28  15  -7  21 -53  63  60  -4  50  57 -64  -1  15  57 -59  16 -41  45 -50  22 -58  25 -60  53  46 -16  14  44 -52 -31  -6 -15  48  52 -58  59  51 -62  -8
 38  59  -8 -27  11 -15 -21 -37   9 -40 -23 -33 -34 -62 -29 -45  48  20  33  28  32 -62 -41 -47  50 -53 -40  46  62 -38 -26  36 -42  30 -54  33 -49 -11  60  24  13 -27  56  44 -25 -37  63 -41  47  33  51  16  35 -54  33  22 -43  57   4 -44 -44  42  56 -22   8 -62 -53  23  -9 -57 -16 -59 -20 -24  49  19   3  48  42 -13  17  29 -61 -11  40  36 -53  61  30  15 -47  50  -7 -54 -36 -63 -52 -25  24   4 -18 -56   9  26 -16  -6 -19  52 -22 -41 -25  60  52 -22 -15  28 -50  -4  26  44 -53  43  30   4  53  58   5 -62 -31 -35   6  15 -26 -49 -23  22   9  22  10  51  45  49  47  34 -37 -32  -2 -22  28 -40 -42  39 -60  53 -21  57  47  48  59 -47 -50   1  32 -12  16 -54 -54 -39  32  21 -51  14   6  60 -16  34 -35  46 -52  57 -57 -30  33 -53 -41 -52 -60 -57  61 -64 -40 -53   1  56  -1 -46 -62   9 -21  35 -34  -8 -15  37 -11  33   7  18  15  19  11  22  53 -20  33 -51  -7  38 -44 -10  38 -20   1 -25 -28 -64  -7 -25   9  37 -54  40 -35  -5  13  18 -36 -44 -28  43  39  48   2  28 -36 -29  41  21 -55  61 -53  47 -23  12 -41  14
 12  16  53 -42 -11  63  62  19  -6  11 -27  22  31  10   1   6  -6 -61 -30  22 -25 -52 -20 -16 -55  -9 -32 -13 -60  -9 -63  16 -57  54  38  -3  53  36 -48 -17 -17 -11 -59 -50  63   6  20  -7  10  55 -48  49 -61  -4 -31 -52  51   1  -1  55  56   0   8 -64 -10 -18  -3 -21 -45  13  26   2 -62  31  17 -62 -26 -27  -5  48 -36  11  33 -33 -57 -62 -20  59   4  43  50  -4 -20  -6  -4  34  41  57 -50  60   6  40  -2   9   8 -49  11  46 -11 -58  30  17  18  -1  49  25   1 -35  20 -59 -56   7   2 -12 -63  62 -41  42  56 -27  38  -2 -51 -27 -57  21 -12  18   3  41  25 -31  -5 -21  32 -20 -60 -30   9  25 -25  17 -32  41 -58 -31  40 -35 -52  32   2  50 -34  15 -41 -26 -27  12  56  40 -11  17 -54  48  60  42 -36 -63 -52  37  26 -12  -9  58 -35  -3 -37 -59  26 -25  37 -36 -38 -60  43 -15 -22 -48  61 -30  57 -13  52 -61 -29  48  45   0  49  58 -27  11 -18  28   5  11 -39  33  17  51 -56 -10 -49 -30  -6  59  20  36 -53  17 -57 -60 -60  59 -57 -24  43  53  40  29  47 -51 -24 -35  42  46  40 -61  15  -7  55  23  48 -58  58 -22
-63  14 -49 -51 -33 -42 -47 -28 -47 -39  12  60 -50 -12  25  61   1 -62 -38 -21  48 -62 -17  -1  -4 -26 -42 -20 -20 -48  22 -18  30  37  -5  62  59  12 -30 -52  37  46 -55  51 -30  34  48  35  36 -54 -49  20 -51  -2 -45   9  36 -22  53 -48  -6  11  -2 -39 -15  57 -41 -20   6  -7  -7 -21 -25   2 -33   9 -28 -49 -20 -55 -38  -5  29 -25  57  49  48  29 -37  37  46  21 -16 -20  46  33 -26 -59 -50  44  -2   7 -41  37 -55 -10 -18 -19   6  27 -10  32 -42 -44 -57 -48 -59  55  45 -32  28  27  53 -52 -56  36  46 -18  41  60 -38 -24   3 -15 -51  12  40  -4  57 -18 -41 -16 -50 -19   4 -43  -3   9 -52 -21  41  40 -58  30  52 -50   2  34  -4 -20  30  22  20 -31 -56  33  45  48 -35  39 -34 -12 -41 -20  34  27   1 -33 -28  13  10 -51 -11  17  43 -23  31 -18 -52 -36  26  42  50 -18 -52  58 -49  57  42 -19  32 -56  33  55 -12   3  18  53  35  54   2 -19 -61  55  62  47 -31  30 -35 -19  58  55 -41  44 -27 -29  39 -12 -35  17  33  61  26   3  53 -50 -58   7 -60  41  -2   6 -41   1  -2 -43 -16  31  51  13 -52  45   4 -29  26  41
  7   1 -34  36 -46  63  33  44   2  22  59   9 -34  63 -14  28   5   9 -35 -61  31  14  34  18 -37  46   0  32 -46 -38   9  25  27  39  -3  45  39 -34  26 -23  53  21  50 -45  20 -27  47 -39  46 -52 -35  13  26  63 -32  54  46  32  22 -64  58 -33  25  21 -57 -42   2  46 -12 -36 -41 -23  49 -54  -4   5 -17 -21  31 -35  -8  60  43 -46  59 -53 -56  41  43  30  41  37  62   2  -6 -59  24  60  51 -51 -39 -54 -10 -54 -44  51  16   3 -34 -17  33  22 -21  12  41 -26  23  49 -48   2  16  57 -25  14  -4  33  19 -44  29   6 -31  54  16  24 -63  37  11  17 -24  41 -64 -55   0 -21  21 -23  17 -20 -38  33  46  42  27 -43  -8 -41  54 -53 -21  20  17  13  10 -30 -27  11 -57  48 -36 -17  25 -36  -7 -39   7 -50   2 -39  -5  29  58 -23   7  21  -1 -64  44 -11 -53 -40 -55  29  37  20  63 -54 -33 -58  58  -4 -11  19  24  46  45 -32  61 -17  -7  -8 -52 -13  33  20 -55 -32  20  53  22  31 -51  31  -4  50 -13  -5  60  19   1  54 -49  55  10  39  37  -9 -57  34  38   0 -38  51  52  60   7  61 -36 -37  50  50  58 -64  18  -9  50 -59
