64 64
-58  39 -11 -49 -18   4 -36 -35  -9 -64  26  14 -33   4  33  -1  20   9  31  51  31 -59  61 -54 -31 -47  52  17  -8 -37 -30  -2 -62  23  14 -16 -37  42  13  18  42 -25 -32 -54  44 -63   9   0  11 -24 -12 -22 -18 -15 -12  15   2 -23 -32  59   4   2  -7   6
-39 -57  54 -11  50   4 -57  28  43 -24  38  23 -23 -16 -40  52  24  12 -34 -58  61  19  22   0  60  54  -5   0  -7  52 -58  18  60  60 -57  46   0 -49  10 -20  -9 -15 -61  32  33 -37  21  -7  39  51   0  37   6 -42 -27   2 -52  32 -62   5  20 -56 -40  16
-59 -33  -2   5 -18 -55  49  37  -6  53   6 -37 -48 -37  20  56 -50 -44  29  21 -22 -62 -41  -9  34 -38  60 -10 -30 -44 -57 -25 -12   5  45  34  14  30   8 -56  19 -50 -29  36 -23  56  28  -9 -52  -7 -52  -9  -5 -28  46 -35  -2  42  19  32  63  26 -56 -13
-32  53 -43  46  19  29  55 -25  43 -38 -53 -44 -46  39  12 -33 -32  24  22  27  60   4  56  -6 -18  11 -37 -19 -26 -29  32   6 -40  54 -12  43  19 -21 -46  -1   6 -35  19  24 -60 -33  55 -28  56  13  63  52 -47  55 -17   0   3  10  45  41  45  14 -17 -59
  4  35  48 -41 -49 -61  22  21 -32 -22 -19 -27   9 -27   9   1  50   9 -10 -60   0  37   4 -61 -17 -15  44 -36  63 -37 -31   3  63 -47  27 -50 -44 -15  35 -11  27 -48  26 -27 -11 -29  38 -24  44 -36 -20 -19 -63  48 -16 -16 -31 -35  12 -31  -8  45  36  -9
 63  -1   5 -45  49 -24   8  12  -7 -30  49  46   6  24 -42 -14  52   2  31  54 -14 -48 -26  20 -19  51  53  37  32  25 -35  31 -39  34  51 -54 -53  -5  22   4  30   8 -14 -28 -32   9  22 -44 -53 -10 -54  -2   6 -15 -46  51 -28 -57  24 -60  32  53  36  57
 24  23 -61  35 -46  26 -25  48 -30  25 -44   2 -30  43  22 -18 -31  33  44  39 -46  62  26 -10 -59 -14  -6  37 -24 -34  31 -64  53  34  35 -56  -4 -54  56  30  35 -51 -32 -58  56  55 -12 -39  24 -32 -64  42 -34  26 -32 -29 -52  26 -56 -12  57  39 -12  46
 10 -41  54 -58 -31  47  37 -59  60 -59 -53  52  60  -1 -51  20  31 -51  -2  61  39  30 -32  51  -7 -24 -24 -14 -48  28 -32  26  52 -41  32 -43 -58   5 -38 -62  11 -27  54   7  36 -61 -36   3 -48  26   0  55  -7  32  42  50 -55 -46 -28 -39  47   4  51  35
 27  19  56  33 -39 -45  35  36  -8  25 -21 -35  28   7  32  44 -30 -31  35  27 -63  14  13 -54  32  49 -29  15 -11 -42 -14 -47  42 -21  50 -61  -2  22  39  54 -17 -46 -45 -52  26  52  56  60 -43  28  23 -42 -22 -28 -31 -54 -43   4  26  10  27 -52  27   5
 -9  14   8  53 -28 -17  44  19   1  63  31 -37  51  24 -41 -56 -12  46 -33  30 -46   0  40 -25 -60   2  50  31  15  13 -28 -58 -37  44  60  -1 -37  40 -45  29  39  50  56  27  10 -48  35  62  62 -62  28 -47   2   5  -8   7 -57 -22 -26  22  56  11  29 -45
 -9  25  19  19   1  38 -16 -24  24 -24 -61 -29  -8  39 -31  -9  41  62   8 -20   3 -64  51  10 -21 -39 -31 -29  36  62 -10 -36  23 -55  47 -40  47 -33   0   8   7   4  43 -64 -21 -52  -9 -44 -54  63   0  13  63 -13 -40 -22  13  -7  13 -15  -9 -60  13 -50
-51  -4 -26  61  27  38   5 -29 -22 -16 -29  21  -4  26  42   7  25 -22 -44  24  30 -20 -61 -21  37  16  28 -36  20 -22 -22  34  38  16  31   2  -9 -28  37  33  20 -56  -9 -48  34 -31  23  -5  11  44 -45 -23 -40 -42  20  62  39 -15 -38  -5  27   5 -35   1
-43  60 -61  12 -32  40 -18  52  48  37 -59  18 -58  28 -51  17   8 -31  59  33  -9  15  31 -34 -64  57  26  27  -2  55 -35  20  52 -32 -32 -44 -55  14 -55  57 -13 -50  12  -7  42  25 -53 -13  58 -58 -44 -14  21  51  16  22  44 -22 -15 -21 -30  14  63 -42
 47 -33 -22  56  46 -13  49 -31   1  -3  27 -20 -41  38  31 -47  44  51   3   1  38 -44 -41  18  -2   9  61  32 -41  60  54 -58 -36 -31  62 -54  20  48 -21 -42 -19 -58   2   4  44 -31  22  24 -44 -39 -38  58 -19 -15  12  44  58  10  12 -46   6   3 -40  34
 36 -41  44  -8 -57 -40  14 -12 -34 -48  57 -53 -15  15  35   5  40  61  -1 -42 -17 -52 -62 -23  22  14  -5 -36 -47  20  63  53  43  43 -18  50 -61  60 -26 -30 -51 -33 -19  -2  46 -48 -60  23 -50   3  45  -3  15  47  38 -27  -3 -30   2  15  54   1   4  33
-20  50  19 -16  47  57  18  60 -39  63  -6 -57 -49  -2  30 -35 -62  11  26  17  -6   1  55  56  35  -7   7  25  58 -53  -6 -26  62 -51  22  45 -58 -24  41 -33 -25 -29 -25  -9  34 -59  20  36  17 -17 -11 -53  48 -20 -61  19  37  10 -20  31  22  38 -58  20
 51  28   1  57 -59 -22 -39 -20  13   0  35 -17   5  -8 -45 -42  39   9 -30  23  53 -27 -22  27  48  22  -6   6  -4   0 -38 -17 -35  27 -24 -30 -59   1  14  18 -63 -14 -62   7  42 -43  29  17  30  63 -24  20 -27  18 -17 -43 -24  41  27  36 -22  53 -45   7
 16  -5  41  21  61  -9 -25  62  41 -23   5  19  -1 -29 -28 -35 -30  12  49   7 -34 -32  28   6 -54  -9 -22 -12 -20  -3  59  60  57  36  17  54 -37  57  52 -59 -30  -6  24  33  29  61  63  63   9  48   7  40 -47 -29 -18 -37  27  25  15 -57 -42  10 -60 -49
-18  21 -59   9  14  58  14  49 -12 -25  18 -47 -28  17 -48  45   2  23  21  19  59 -60  46  22  29  -3  29  51 -57  33 -61 -11  -9 -56  62 -59 -62  13  54 -10  52   9   7 -40 -38  24 -59  28 -17  27 -17 -22  31 -35 -64  -4  26  30 -17  33  -1 -14 -42  54
 -5 -43  60  -3  34  50  52  22  -5  -5  46  22 -45  51 -14   3  14  34  45 -19  63  46  41  26  12 -39  -5 -53  11  18 -62 -58  39  62   4   9  48  -8 -33 -20  51 -51 -62 -57 -64 -12  10  15 -42  -9  60 -42 -27  38  48  49  63 -21  61  10  61  63  17  36
 61 -43 -19  45  13  12 -39   0  25 -37   7  26  16 -47 -23  38   9 -27  60  46 -53  44  32 -54 -40  29  21 -43  28 -26  58  25  -5 -25   6 -56  52  32   8  13  59 -48 -25  11 -31  16 -14  42  54 -18  25 -63 -37  -7 -52 -13 -42  33   8  50 -57   2  11   2
 42 -47  10  30  49 -46 -21  45 -30  19  -8   4 -29  42 -18 -39 -39 -57 -37 -12   0 -25  39  22 -56 -17   8 -49  50 -45  17  28 -27 -37  -6 -42 -19  37 -61  16  -8  -4 -44  28 -26   2  53  -1  10 -48  51 -54  -9  26  33  -1 -54 -23  14  60  -3 -33  24  34
 -6 -46  56  40  55  60  -8 -16  -8  12 -52  30 -50 -63 -34  24 -46 -47  35   9  44   4 -55  54  45  23  50 -22  55  10 -52 -15  28 -59 -39  19 -63  17 -61  -7 -35 -49 -41 -20 -47 -11 -60 -29   7  39  44 -13 -21  53 -23 -39  13 -37   3   4  37  16  53   1
 21 -49 -44  22  32 -40 -49  62 -25 -26 -22  -8  28 -18  27 -29 -42   8  22   1  -3  63  26 -54 -38 -34  14  63  46   4   0   3  19  20 -39 -13  44 -24 -15 -44  14  27  12 -22 -54 -24  13 -32  48 -29  33 -19 -30  -4  -8  -4  26 -58  -5   8  10  59 -53 -35
 16 -28  17  -4  12 -62  16 -38  30 -35   5  40   5 -46 -56 -11 -10  41  34  24 -27 -38 -43  63 -31  16   7  43  12  18 -55 -36  54  26  24   2  28 -23  29  -6   6 -30 -30 -53 -12 -22   0  42 -44 -30   3  -7  -3  24  -7  30 -24 -64   9  52  19  18 -48   9
-20  41 -52 -55 -46  41   3  24 -53  38  35  -1 -48 -29 -22 -28   5  45  30 -62   5 -41  32  45 -41 -22  34  42  60  50 -12 -23  27   0 -14  45 -23  53   5 -12  27 -24  51  44  11 -35 -48 -47 -54  46 -45  15 -59  52  -3 -35 -34 -33 -57 -38 -47  -5   3  45
 59  53  26 -28  43 -32  24   6   8  12 -14 -44  41   3 -27  52 -15  -8   3  -9 -20 -64  20  10 -33  27  37 -15 -41 -24 -34 -46 -34  56  -9 -55 -40 -49  15  33  27 -62  53   5   5 -38  -7  54  18  60 -19  63  61 -63   9 -36  29 -18  13  52  23  43 -58  53
 36  -3  62  60  13  13  29 -24  15  18  45 -44  44 -26 -53  -1 -29  -8  -2 -32  -6 -57  -4 -41 -10 -54 -53 -51  53 -47 -62  25  15 -64  22 -36  13 -13   4 -35 -58 -14 -15  50  24  -4 -15  59  53  47 -37 -17  55  24   6 -19  34  17  -6  23  34  -4 -15 -15
