64 64
 48  40  -7 -36  -2 -55 -39 -42 -58 -63  39 -54 -34 -13  41  45  58 -45  38 -63  -7 -35  13  32 -54 -30 -31  56  62   4 -27  46 -19  30 -54  43  40 -28 -63  46 -27  40  57   3 -36  34 -15 -42  53 -41 -41 -17 -12  37 -49  -1 -57 -15  -9 -59  53  29  51 -30
 -5  62 -51 -29 -30 -50 -46   7  55 -53 -53 -45  45  -4 -23  35  19   1 -46 -57 -26 -31   6 -19  18  62 -13   8  27 -26  42 -42 -28  56  -6   6 -58  12 -50  61  23 -39 -48   4  21  -6 -25 -24  59  -7 -17 -31  27  54  14 -19  52 -63  53  15 -24  32  37  12
 24 -33 -45  30  43 -31  28   2  -6  44 -57 -49 -26 -18  -9 -31  40  38   2   3  28 -47  48  16 -46  38 -33  -6   6 -59 -57 -34 -28 -38  60 -48  -5  24  18  53   5  25 -60  43 -56  -5 -51  48 -31  15 -13  62  32 -29  14  51 -55  46 -19  15  51 -12  45 -41
 14  42 -25 -55   2  58  62 -57  19 -62  51  27  -3 -64  11  31  15  62  29 -16 -30 -21 -29 -21 -39  16  59 -52 -59  40 -28  19  18  11  29 -43   5  27 -36 -39  30 -49  52 -37 -49   0  58  31  -2  23 -49  32 -61 -14 -52 -36 -62 -57 -23 -57  47  13  27   2
-40  -8  23  30 -45  51  55  49 -61  43 -51 -46 -21 -57  49  42  31 -64  10  34 -14  22  62 -11  29 -25  -4  13  52 -41 -49 -51  15  38  43  35  25  34  20  28  13  33  47  57  41  32  35   8  33 -19 -22 -45 -60 -24   8  33  16 -59 -18   4 -36  -3  17  44
-29  -4  15  61 -34 -29  25  44 -59   8  37  46 -23   8 -10 -54  53  32 -35  57 -56  38  27  24  43 -55 -35 -57   7  46  51  42 -21   2  39   9  38   1 -11  43 -55 -38  25 -14  34 -49  -4  24  47  26  17  55   0 -20  16 -21 -10  45 -14  61  27 -26  39 -58
 40  15  16  14 -48 -59  -7 -39 -32 -46  12 -62 -31 -56  26 -48  34 -20 -56 -30  24  24  13 -50   5 -64 -53 -32 -26  51 -25 -50   2  55  29  18  60 -42  43 -36 -23  -9 -33  10   0  57  27 -30 -27  35   5  62  -5 -46 -52 -64 -46 -40 -32  -8 -53   7   7  13
 -2 -28 -33  -5  -6 -54  23  35   2  54 -18 -62  48 -55 -28 -43  44  41 -45 -25  60 -32 -25 -50  -8   7   7   3 -49 -50 -48  13 -14 -17 -56  44  -7  32  16  59  22  62  61   6 -57 -30  28  51 -53  47 -38 -57 -49   1 -42   7 -56  29 -54 -41  43 -38  37 -35
  9  45 -55 -61  13  25  62 -28  23  60  42  30 -34   6  17 -23 -10  43 -15   5 -20   7 -51 -11 -28 -41  12 -49 -14 -15 -20  59 -33 -11  62  44 -49  61 -48  38  57  59   5 -41   1 -42   0  55 -62  49  -3 -18  -8  10  35  28  33 -16  43 -45  33 -41 -49 -64
 13 -51  45  28 -54  61   2 -61  56 -57 -38  -6 -34  27 -15 -32  12  46  14 -59  -8 -14  33 -38  34  13 -19   3  36  -4   4 -15  10 -15 -51  20 -18  16  24 -25  23  50  33  53  13 -46 -43 -38 -63  36 -33  -7 -42 -64  19  56  13 -63  -5 -14  -3  63  35 -57
